"Kod";"Nazwa";"Rodzaje obiektów";"Rodzaje placówek";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0200000;"DOLNOŚLĄSKIE";"ogółem";"restauracje";"2020";337;"ob.";""
0200000;"DOLNOŚLĄSKIE";"ogółem";"restauracje";"2021";323;"ob.";""
0200000;"DOLNOŚLĄSKIE";"ogółem";"restauracje";"2022";319;"ob.";""
0200000;"DOLNOŚLĄSKIE";"ogółem";"bary i kawiarnie";"2019";217;"ob.";""
0200000;"DOLNOŚLĄSKIE";"ogółem";"bary i kawiarnie";"2020";208;"ob.";""
0200000;"DOLNOŚLĄSKIE";"ogółem";"bary i kawiarnie";"2021";198;"ob.";""
0200000;"DOLNOŚLĄSKIE";"ogółem";"bary i kawiarnie";"2022";204;"ob.";""
0200000;"DOLNOŚLĄSKIE";"ogółem";"stołówki";"2019";189;"ob.";""
0200000;"DOLNOŚLĄSKIE";"ogółem";"stołówki";"2020";176;"ob.";""
0200000;"DOLNOŚLĄSKIE";"ogółem";"stołówki";"2021";177;"ob.";""
0200000;"DOLNOŚLĄSKIE";"ogółem";"stołówki";"2022";162;"ob.";""
