"Kod";"Nazwa";"Wyszczególnienie";"Kategorie";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2016";67.5;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2017";67.3;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2018";67.1;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2019";67.9;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2020";34.0;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2021";39.3;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *****";"2022";57.4;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2002";44.80;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2003";43.30;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2004";47.98;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2005";52.40;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2006";53.68;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2007";56.03;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2008";51.99;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2009";45.79;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2010";47.12;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2011";49.8;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2012";50.1;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2013";49.9;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2014";51.8;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2015";54.9;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2016";57.9;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2017";58.5;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2018";59.2;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2019";59.9;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2020";32.3;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2021";40.2;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ****";"2022";54.9;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2002";37.90;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2003";38.70;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2004";41.33;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2005";43.96;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2006";44.64;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2007";46.20;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2008";44.87;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2009";39.71;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2010";39.08;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2011";41.1;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2012";40.5;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2013";41.0;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2014";42.1;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2015";45.2;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2016";47.7;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2017";49.1;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2018";49.9;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2019";50.7;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2020";30.1;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2021";36.3;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii ***";"2022";49.9;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2002";34.30;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2003";32.80;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2004";36.25;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2005";39.33;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2006";41.13;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2007";43.69;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2008";43.22;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2009";38.44;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2010";38.28;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2011";39.8;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2012";38.1;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2013";38.9;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2014";39.0;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2015";40.0;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2016";42.2;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2017";43.8;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2018";44.4;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2019";45.6;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2020";27.4;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2021";33.2;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii **";"2022";47.4;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2002";29.10;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2003";31.10;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2004";37.09;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2005";39.10;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2006";41.65;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2007";43.86;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2008";44.58;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2009";40.98;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2010";41.87;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2011";43.8;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2012";40.5;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2013";41.8;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2014";43.2;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2015";48.0;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2016";51.2;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2017";54.1;"%";""
0000000;"POLSKA";"stopień wykorzystania pokoi";"kategorii *";"2018";53.7;"%";""
